meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1232,9496,23,1,2024-04-07T05:32:00.407000+00:00,,,,,,False,,"[2048, 2049, 2049, 2049, 2052, 0, 0, 0, 0]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",
1232,9496,31,1,2024-04-07T05:32:00.407000+00:00,40.959,84.316,45.396,259.0,177.0,False,170.671,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",115.0
1232,9496,18,1,2024-04-07T05:32:00.407000+00:00,41.617,86.629,51.822,268.0,162.0,False,180.068,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",121.0
1232,9496,20,1,2024-04-07T05:32:00.407000+00:00,42.175,88.402,55.147,274.0,158.0,False,185.724,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",123.0
1232,9496,10,1,2024-04-07T05:32:00.407000+00:00,41.263,85.099,47.334,275.0,187.0,False,173.696,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",123.0
1232,9496,2,1,2024-04-07T05:32:00.407000+00:00,42.532,89.197,57.246,280.0,194.0,False,188.975,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",118.0
1232,9496,24,1,2024-04-07T05:32:00.407000+00:00,42.709,90.308,62.545,264.0,155.0,False,195.562,"[2048, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",118.0
1232,9496,1,3,2024-04-07T05:34:24.446000+00:00,,42.768,18.603,279.0,291.0,False,172.922,"[2048, 2048, 2048, 2051, 2048, 2048, 2049, 2051, 2049]","[2051, 2048, 2049, 2051, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2051, 2049, 2051]",285.0
1232,9496,11,3,2024-04-07T05:34:26.668000+00:00,,42.877,18.696,280.0,294.0,False,171.63,"[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051]",290.0
1232,9496,4,3,2024-04-07T05:34:27.933000+00:00,,43.152,18.525,281.0,294.0,False,171.325,"[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",293.0
1232,9496,55,3,2024-04-07T05:34:32.242000+00:00,,43.105,18.553,282.0,298.0,False,167.321,"[2048, 2049, 2048, 2048, 2049, 2048, 2049, 2048, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2051]",301.0
1232,9496,14,3,2024-04-07T05:34:37.620000+00:00,,43.268,18.703,278.0,297.0,False,162.586,"[2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2051, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",300.0
1232,9496,81,3,2024-04-07T05:34:41.098000+00:00,97.585,43.7,18.776,279.0,296.0,False,160.061,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",298.0
